trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
133,08:15:00,08:15:00,99,1,,,,
133,08:19:00,08:19:00,97,2,,,,
133,08:21:00,08:21:00,96,3,,,,
133,08:22:00,08:22:00,95,4,,,,
133,08:23:00,08:23:00,92,5,,,,
133,08:24:00,08:24:00,93,6,,,,
133,08:25:00,08:25:00,187,7,,,,
133,08:26:00,08:26:00,186,8,,,,
133,08:27:00,08:27:00,177,9,,,,
133,08:29:00,08:29:00,178,10,,,,
133,08:31:00,08:31:00,182,11,,,,
133,08:32:00,08:32:00,181,12,,,,
133,08:34:00,08:34:00,180,13,,,,
133,08:35:00,08:35:00,179,14,,,,
133,08:41:00,08:41:00,9,15,,,,
132,08:00:00,08:00:00,9,1,,,,
132,08:06:00,08:06:00,179,2,,,,
132,08:07:00,08:07:00,180,3,,,,
132,08:08:00,08:08:00,181,4,,,,
132,08:10:00,08:10:00,182,5,,,,
132,08:12:00,08:12:00,178,6,,,,
132,08:14:00,08:14:00,177,7,,,,
132,08:15:00,08:15:00,186,8,,,,
132,08:16:00,08:16:00,187,9,,,,
132,08:17:00,08:17:00,93,10,,,,
132,08:18:00,08:18:00,92,11,,,,
132,08:19:00,08:19:00,95,12,,,,
132,08:20:00,08:20:00,96,13,,,,
132,08:22:00,08:22:00,97,14,,,,
132,08:26:00,08:26:00,99,15,,,,
131,06:45:00,06:45:00,99,1,,,,
131,06:49:00,06:49:00,97,2,,,,
131,06:51:00,06:51:00,96,3,,,,
131,06:52:00,06:52:00,95,4,,,,
131,06:53:00,06:53:00,92,5,,,,
131,06:54:00,06:54:00,93,6,,,,
131,06:55:00,06:55:00,187,7,,,,
131,06:56:00,06:56:00,186,8,,,,
131,06:57:00,06:57:00,177,9,,,,
131,06:59:00,06:59:00,178,10,,,,
131,07:01:00,07:01:00,182,11,,,,
131,07:02:00,07:02:00,181,12,,,,
131,07:04:00,07:04:00,180,13,,,,
131,07:05:00,07:05:00,179,14,,,,
131,07:11:00,07:11:00,9,15,,,,
130,06:15:00,06:15:00,9,1,,,,
130,06:21:00,06:21:00,179,2,,,,
130,06:22:00,06:22:00,180,3,,,,
130,06:23:00,06:23:00,181,4,,,,
130,06:25:00,06:25:00,182,5,,,,
130,06:27:00,06:27:00,178,6,,,,
130,06:29:00,06:29:00,177,7,,,,
130,06:30:00,06:30:00,186,8,,,,
130,06:31:00,06:31:00,187,9,,,,
130,06:32:00,06:32:00,93,10,,,,
130,06:33:00,06:33:00,92,11,,,,
130,06:34:00,06:34:00,95,12,,,,
130,06:35:00,06:35:00,96,13,,,,
130,06:37:00,06:37:00,97,14,,,,
130,06:41:00,06:41:00,99,15,,,,
137,17:40:00,17:40:00,99,1,,,,
137,17:44:00,17:44:00,97,2,,,,
137,17:46:00,17:46:00,96,3,,,,
137,17:47:00,17:47:00,95,4,,,,
137,17:48:00,17:48:00,92,5,,,,
137,17:49:00,17:49:00,93,6,,,,
137,17:50:00,17:50:00,187,7,,,,
137,17:51:00,17:51:00,186,8,,,,
137,17:52:00,17:52:00,177,9,,,,
137,17:54:00,17:54:00,178,10,,,,
137,17:56:00,17:56:00,182,11,,,,
137,17:57:00,17:57:00,181,12,,,,
137,17:59:00,17:59:00,180,13,,,,
137,18:00:00,18:00:00,179,14,,,,
137,18:06:00,18:06:00,9,15,,,,
136,17:15:00,17:15:00,9,1,,,,
136,17:21:00,17:21:00,179,2,,,,
136,17:22:00,17:22:00,180,3,,,,
136,17:23:00,17:23:00,181,4,,,,
136,17:25:00,17:25:00,182,5,,,,
136,17:27:00,17:27:00,178,6,,,,
136,17:29:00,17:29:00,177,7,,,,
136,17:30:00,17:30:00,186,8,,,,
136,17:31:00,17:31:00,187,9,,,,
136,17:32:00,17:32:00,93,10,,,,
136,17:33:00,17:33:00,92,11,,,,
136,17:34:00,17:34:00,95,12,,,,
136,17:35:00,17:35:00,96,13,,,,
136,17:37:00,17:37:00,97,14,,,,
136,17:41:00,17:41:00,99,15,,,,
135,13:10:00,13:10:00,99,1,,,,
135,13:14:00,13:14:00,97,2,,,,
135,13:16:00,13:16:00,96,3,,,,
135,13:17:00,13:17:00,95,4,,,,
135,13:18:00,13:18:00,92,5,,,,
135,13:19:00,13:19:00,93,6,,,,
135,13:20:00,13:20:00,187,7,,,,
135,13:21:00,13:21:00,186,8,,,,
135,13:22:00,13:22:00,177,9,,,,
135,13:24:00,13:24:00,178,10,,,,
135,13:26:00,13:26:00,182,11,,,,
135,13:27:00,13:27:00,181,12,,,,
135,13:29:00,13:29:00,180,13,,,,
135,13:30:00,13:30:00,179,14,,,,
135,13:36:00,13:36:00,9,15,,,,
134,12:15:00,12:15:00,9,1,,,,
134,12:21:00,12:21:00,179,2,,,,
134,12:22:00,12:22:00,180,3,,,,
134,12:23:00,12:23:00,181,4,,,,
134,12:25:00,12:25:00,182,5,,,,
134,12:27:00,12:27:00,178,6,,,,
134,12:29:00,12:29:00,177,7,,,,
134,12:30:00,12:30:00,186,8,,,,
134,12:31:00,12:31:00,187,9,,,,
134,12:32:00,12:32:00,93,10,,,,
134,12:33:00,12:33:00,92,11,,,,
134,12:34:00,12:34:00,95,12,,,,
134,12:35:00,12:35:00,96,13,,,,
134,12:37:00,12:37:00,97,14,,,,
134,12:41:00,12:41:00,99,15,,,,
139,18:40:00,18:40:00,99,1,,,,
139,18:44:00,18:44:00,97,2,,,,
139,18:46:00,18:46:00,96,3,,,,
139,18:47:00,18:47:00,95,4,,,,
139,18:48:00,18:48:00,92,5,,,,
139,18:49:00,18:49:00,93,6,,,,
139,18:50:00,18:50:00,187,7,,,,
139,18:51:00,18:51:00,186,8,,,,
139,18:52:00,18:52:00,177,9,,,,
139,18:54:00,18:54:00,178,10,,,,
139,18:56:00,18:56:00,182,11,,,,
139,18:57:00,18:57:00,181,12,,,,
139,18:59:00,18:59:00,180,13,,,,
139,19:00:00,19:00:00,179,14,,,,
139,19:06:00,19:06:00,9,15,,,,
138,18:15:00,18:15:00,9,1,,,,
138,18:21:00,18:21:00,179,2,,,,
138,18:22:00,18:22:00,180,3,,,,
138,18:23:00,18:23:00,181,4,,,,
138,18:25:00,18:25:00,182,5,,,,
138,18:27:00,18:27:00,178,6,,,,
138,18:29:00,18:29:00,177,7,,,,
138,18:30:00,18:30:00,186,8,,,,
138,18:31:00,18:31:00,187,9,,,,
138,18:32:00,18:32:00,93,10,,,,
138,18:33:00,18:33:00,92,11,,,,
138,18:34:00,18:34:00,95,12,,,,
138,18:35:00,18:35:00,96,13,,,,
138,18:37:00,18:37:00,97,14,,,,
138,18:41:00,18:41:00,99,15,,,,
24,08:00:00,08:00:00,9,1,,,,
24,08:06:00,08:06:00,13,2,,,,
24,08:08:00,08:08:00,14,3,,,,
